code,database,name,type,unit,cat_1,Exiobase name,Exiobase unit,Exiobase compartment
e4e9febc-07c1-403d-8d3a-6707bb4d96e6,biosphere3,"Carbon dioxide, from soil or biomass stock",emission,kilogram,air,,,
eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,biosphere3,"Carbon dioxide, non-fossil",emission,kilogram,air,"Carbon dioxide, biogenic",tonnes,air
6900ccc1-4b7a-422a-9fad-7c31eb1fc46f,biosphere3,"Carbon dioxide, non-fossil, from calcination",emission,kilogram,air,,,
375bc95e-6596-4aa1-9716-80ff51b9da77,biosphere3,"Carbon dioxide, to soil or biomass stock",emission,kilogram,soil,,,
38574d8f-e0f9-4a7c-8edc-70193e608c57,biosphere3,Carbon disulfide,emission,kilogram,water,,,
d94a5a1a-bc06-48fd-b6d9-7477ea65cacd,biosphere3,Carbon disulfide,emission,kilogram,air,,,
ba2f3f82-c93a-47a5-822a-37ec97495275,biosphere3,"Carbon monoxide, fossil",emission,kilogram,air,CO ,tonnes,air
69a6c884-39be-444f-a67c-7436a5e66de2,biosphere3,"Carbon monoxide, from soil or biomass stock",emission,kilogram,air,,,
2cb2333c-1599-46cf-8435-3dffce627524,biosphere3,"Carbon monoxide, non-fossil",emission,kilogram,air,,,
bfc66f26-0b11-4e6e-9e8c-2bfde24dc23c,biosphere3,Carbon-14,emission,kilo Becquerel,air,,,
c18f9e43-e4ad-4b3a-8ed8-638fe8015425,biosphere3,Carbon-14,emission,kilo Becquerel,water,,,
4ccf69ef-e377-4cac-b188-5c9c58cefa56,biosphere3,Carbonate,emission,kilogram,water,,,
476ff60f-c2a2-43d6-bbe7-b4c4eea6960a,biosphere3,Carbonyl sulfide,emission,kilogram,air,,,
017be306-b88a-4d3a-a906-b8734b72b6fb,biosphere3,"Carboxylic acids, unspecified",emission,kilogram,water,,,
c9e7bf95-483c-469c-8d21-9012f926b3b0,biosphere3,Cerium-141,emission,kilo Becquerel,air,,,
c1666cdb-dfd8-4060-9e2a-3ded00878a2d,biosphere3,Cerium-141,emission,kilo Becquerel,water,,,
8aed2c21-f23c-4b4b-877e-69c2aa519a47,biosphere3,Cerium-144,emission,kilo Becquerel,air,,,
36a50e5a-1e00-4935-aa35-2a331d9a4045,biosphere3,Cerium-144,emission,kilo Becquerel,water,,,
59570d74-fac9-446d-88a7-5c5b0a6139a7,biosphere3,Cesium,emission,kilogram,water,,,
9d9246d4-0ce3-4b47-8491-cf62e562ad38,biosphere3,Cesium-134,emission,kilo Becquerel,water,,,
4f2051b8-22e6-4592-8803-1e984f8fa61b,biosphere3,Cesium-134,emission,kilo Becquerel,air,,,
f522291f-df84-496b-90c9-433bc6a66a5b,biosphere3,Cesium-136,emission,kilo Becquerel,water,,,
8bbe0b4c-5c9c-4959-a878-572f680e428d,biosphere3,Cesium-137,emission,kilo Becquerel,water,,,
7b87ce50-ede0-40fa-a3ee-5f72553af0e7,biosphere3,Cesium-137,emission,kilo Becquerel,air,,,
60823a33-948a-4d5f-a07a-b9085202935d,biosphere3,Chloramine,emission,kilogram,water,,,
643e2fb1-a875-40a8-aaf5-ea4bde9a4872,biosphere3,Chloramine,emission,kilogram,air,,,
024e919d-91ee-47c7-9f0b-ebe851cc61fb,biosphere3,Chlorate,emission,kilogram,water,,,
6c97741f-8760-4a39-9e90-b534ca137a36,biosphere3,Chloride,emission,kilogram,soil,,,
6d25e386-4ef9-4d40-85c6-e694f523a4da,biosphere3,Chloride,emission,kilogram,water,,,
c4e01cfb-2f50-52d5-8177-1518ad8b7bea,biosphere3,"Chloride, ion",emission,kilogram,water,,,
bd7b7cdb-34ff-422c-b994-6f0fe77a901f,biosphere3,"Chlorides, unspecified",emission,kilogram,water,,,
f6f5933a-5119-41aa-a5ec-7919706c59f2,biosphere3,"Chlorinated solvents, unspecified",emission,kilogram,water,,,
e8641a14-fd07-4090-8daf-2cce2a557a81,biosphere3,Chlorine,emission,kilogram,water,,,
39d1390a-ded6-41cb-a536-d47510bf2fbc,biosphere3,Chlorine,emission,kilogram,air,,,
42ac7dee-8152-4874-a742-c1c432792a3a,biosphere3,Chlorine,emission,kilogram,soil,,,
c8bd2194-b2fc-47c3-bd0b-3341e4b23970,biosphere3,Chloroacetic acid,emission,kilogram,water,,,
9eb7a71d-0e15-4cf3-b8db-4b2ccf87380a,biosphere3,Chloroacetic acid,emission,kilogram,air,,,
dcfaa97f-8eb6-4aa4-822f-2b0dc3e89df9,biosphere3,Chloroacetyl chloride,emission,kilogram,water,,,
3d5051b0-08d6-40ef-8d0c-de90edb39c39,biosphere3,Chloroform,emission,kilogram,water,,,
fbf6ab3a-74e3-4cbe-b61d-959728bdce46,biosphere3,Chloroform,emission,kilogram,air,,,
26202571-16f9-48c3-bf4d-e9c189f43b2c,biosphere3,"Chlorosilane, trimethyl-",emission,kilogram,water,,,
fa442f6a-4fc6-4c57-942b-c84c6c41c8b4,biosphere3,"Chlorosilane, trimethyl-",emission,kilogram,air,,,
19e10755-75cf-4518-98c3-624201ac089f,biosphere3,Chlorosulfonic acid,emission,kilogram,air,,,
46f9fcc3-e595-4252-897e-0e5a997333f0,biosphere3,Chlorosulfonic acid,emission,kilogram,water,,,
e142b577-e934-4085-9a07-3983d4d92afb,biosphere3,Chromium,emission,kilogram,air,Cr,tonnes,air
e0336c9b-a0ff-4ae3-b8bb-ca1e46bbbc11,biosphere3,Chromium,emission,kilogram,soil,Cr,tonnes,soil
81e17d9a-3e0b-414e-9b2e-eca7e5b3bd4a,biosphere3,Chromium VI,emission,kilogram,air,,,
a9ec0c9b-982a-4329-99ae-dab1f9fb62d3,biosphere3,Chromium VI,emission,kilogram,water,,,
68ba2022-830e-45fb-8c85-b35e94754ae9,biosphere3,Chromium VI,emission,kilogram,soil,,,
30f484ee-dec4-47ae-8e92-d00d4b93fe05,biosphere3,"Chromium, ion",emission,kilogram,water,,,
b7802a4d-3a51-4449-9e1f-39fc663cc646,biosphere3,Chromium-51,emission,kilo Becquerel,air,,,
45f68c2b-742e-4d50-ad67-77ca7278db75,biosphere3,Chromium-51,emission,kilo Becquerel,water,,,
c492ac36-a5e1-446c-92c5-110a55654a80,biosphere3,Chrysene,emission,kilogram,air,,,
12051b95-831a-49c0-9a70-fbc0e8fb9af9,biosphere3,Cobalt,emission,kilogram,soil,,,
